X	X0	ensg	hgnc_symbol	chromosome_name
ENSG00000203469	188	ENSG00000203469_RP5-1113E3.3	ENSG00000203469		1
ENSG00000142655	189	ENSG00000142655_PEX14	ENSG00000142655	PEX14	1
ENSG00000130940	190	ENSG00000130940_CASZ1	ENSG00000130940	CASZ1	1
ENSG00000272078	191	ENSG00000272078_RP4-734G22.3	ENSG00000272078		1
ENSG00000175262	192	ENSG00000175262_C1orf127	ENSG00000175262	C1orf127	1
ENSG00000120948	193	ENSG00000120948_TARDBP	ENSG00000120948	TARDBP	1
ENSG00000009724	194	ENSG00000009724_MASP2	ENSG00000009724	MASP2	1
ENSG00000271895	195	ENSG00000271895_RP4-635E18.8	ENSG00000271895		1
ENSG00000116649	196	ENSG00000116649_SRM	ENSG00000116649	SRM	1
ENSG00000171824	197	ENSG00000171824_EXOSC10	ENSG00000171824	EXOSC10	1
ENSG00000226849	198	ENSG00000226849_RP4-635E18.7	ENSG00000226849		1
ENSG00000230337	199	ENSG00000230337_RP4-635E18.6	ENSG00000230337	EXOSC10-AS1	1
ENSG00000198793	200	ENSG00000198793_MTOR	ENSG00000198793	MTOR	1
ENSG00000225602	201	ENSG00000225602_MTOR-AS1	ENSG00000225602	MTOR-AS1	1
ENSG00000171819	202	ENSG00000171819_ANGPTL7	ENSG00000171819	ANGPTL7	1
ENSG00000120942	203	ENSG00000120942_UBIAD1	ENSG00000120942	UBIAD1	1
ENSG00000235643	204	ENSG00000235643_RP1-69M21.2	ENSG00000235643	LINC01647	1
ENSG00000116661	205	ENSG00000116661_FBXO2	ENSG00000116661	FBXO2	1
ENSG00000132879	206	ENSG00000132879_FBXO44	ENSG00000132879	FBXO44	1
ENSG00000116663	207	ENSG00000116663_FBXO6	ENSG00000116663	FBXO6	1
ENSG00000116670	208	ENSG00000116670_MAD2L2	ENSG00000116670	MAD2L2	1
ENSG00000162490	209	ENSG00000162490_DRAXIN	ENSG00000162490	DRAXIN	1
ENSG00000177674	210	ENSG00000177674_AGTRAP	ENSG00000177674	AGTRAP	1
ENSG00000215910	211	ENSG00000215910_C1orf167	ENSG00000215910	C1orf167	1
ENSG00000177553	212	ENSG00000177553_RP11-56N19.5	ENSG00000177553		1
ENSG00000177000	213	ENSG00000177000_MTHFR	ENSG00000177000	MTHFR	1
ENSG00000011021	214	ENSG00000011021_CLCN6	ENSG00000011021	CLCN6	1
ENSG00000242349	215	ENSG00000242349_NPPA-AS1	ENSG00000242349	NA	NA
ENSG00000175206	216	ENSG00000175206_NPPA	ENSG00000175206	NPPA	1
ENSG00000120937	217	ENSG00000120937_NPPB	ENSG00000120937	NPPB	1
ENSG00000116685	218	ENSG00000116685_KIAA2013	ENSG00000116685	KIAA2013	1
ENSG00000083444	219	ENSG00000083444_PLOD1	ENSG00000083444	PLOD1	1
ENSG00000116688	220	ENSG00000116688_MFN2	ENSG00000116688	MFN2	1
ENSG00000116691	221	ENSG00000116691_MIIP	ENSG00000116691	MIIP	1
ENSG00000120949	222	ENSG00000120949_TNFRSF8	ENSG00000120949	TNFRSF8	1
ENSG00000028137	223	ENSG00000028137_TNFRSF1B	ENSG00000028137	TNFRSF1B	1
ENSG00000048707	224	ENSG00000048707_VPS13D	ENSG00000048707	VPS13D	1
ENSG00000229484	225	ENSG00000229484_RP5-888M10.2	ENSG00000229484		1
ENSG00000162496	226	ENSG00000162496_DHRS3	ENSG00000162496	DHRS3	1
ENSG00000272482	227	ENSG00000272482_RP11-474O21.5	ENSG00000272482		1
ENSG00000204518	228	ENSG00000204518_AADACL4	ENSG00000204518	AADACL4	1
ENSG00000157330	229	ENSG00000157330_C1orf158	ENSG00000157330	C1orf158	1
ENSG00000179172	230	ENSG00000179172_HNRNPCL1	ENSG00000179172	HNRNPCL1	1
ENSG00000116731	231	ENSG00000116731_PRDM2	ENSG00000116731	PRDM2	1
ENSG00000231606	232	ENSG00000231606_RP11-344F13.1	ENSG00000231606		1
ENSG00000234593	233	ENSG00000234593_RP4-704D23.1	ENSG00000234593	KAZN-AS1	1
ENSG00000189337	234	ENSG00000189337_KAZN	ENSG00000189337	KAZN	1
ENSG00000171729	235	ENSG00000171729_TMEM51	ENSG00000171729	TMEM51	1
